Address,City,Price,Bedrooms,Bathrooms,Amenities,Listing URL
"5622 Rainbow Rd, Baytown, TX, 77523, US",Baytown,1790,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6830d47d82dbb37b12d42c6c
"4130 Neches Bend Dr, Baytown, TX, 77521, US",Baytown,2245,4,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6832099d2124cacd4d00e39e
"1283 Cater Lee Way, Foley, AL, 36535, US",Foley,1835,3,2,"dishwasher, microwave, fridge, parking, pets",https://mynd.rhenti.com/#/property/683e1f781c200d2afe9daab5
"7559 Canaveral Rd, Jacksonville, FL, 32210, US",Jacksonville,1525,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/65b3fb3c98707c00f603d1ef
"2716 N Pinewood Blvd, Middleburg, FL, 32068, US",Middleburg,1685,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/65f9cde7e9fdbd002e3abcbe
"3807 Saint Johns Ave, Jacksonville, FL, 32205, US",Jacksonville,1895,3,1,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6623e6ae453dd7002edb78c6
"552 George Taylor St, Orange Park, FL, 32073, US",Orange Park,1849,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67df171266c40243e6919363
"7045 Rollo Rd, Jacksonville, FL, 32205, US",Jacksonville,1595,3,2,"dishwasher, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67f9753bd460fdf5041f4fc7
"2880 Alpin Dr, Jacksonville, FL, 32218, US",Jacksonville,2095,4,2,"pool, dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/681e0c2b21da244dc6348146
"5158 Sand Ridge Ct, Jacksonville, FL, 32258, US",Jacksonville,2399,4,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/681e0c6f21da244dc63493d7
"9104 Monroe Avenue, Jacksonville, FL, 32208, US",Jacksonville,1695,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6825d74778cf75b25f0f14ed
"2451 Townsquare Dr, Jacksonville, FL, 32216, US",Jacksonville,1885,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6825dbd178cf75b25f0f8883
"1557 Night Owl Trail, Middleburg, FL, 32068, US",Middleburg,2195,4,2,"dishwasher, microwave, fridge, air_conditioner, pets",https://mynd.rhenti.com/#/property/6825de1078cf75b25f0fc762
"2522 Paris Mill Rd, Jacksonville, FL, 32221, US",Jacksonville,1879,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/682c8b0dc379db1ba4be53db
"7978 Lavender Ln, Jacksonville, FL, 32244, US",Jacksonville,1925,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/682f6672f294b5f7fe86cba1
"4320 Walnut Bend, Jacksonville, FL, 32257, US",Jacksonville,2275,4,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6830f0082124cacd4df9ffce
"1959 Acorn Run E, Orange Park, FL, 32073, US",Orange Park,1849,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/683f709d9aa5c561e0e58250
"398 Willow Green Dr, Orange Park, FL, 32073, US",Orange Park,2035,3,2,"dishwasher, microwave, fridge, air_conditioner, pets",https://mynd.rhenti.com/#/property/6844621a149d2e76132b62be
"6627 Almond Ave, Jacksonville, FL, 32244, US",Jacksonville,1640,3,2,"fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/68449aa97672695518592513
"237 Capital Hill Vw, Liberty Hill, TX, 78642, US",Liberty Hill,1945,4,2,"pool, dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/65b4332f98707c00f603e35d
"2214 Creekside Ln Unit C, Georgetown, TX, 78626, US",Georgetown,1395,3,2,"dishwasher, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/65b43c5298707c00f603e64c
"1004 E. Logan Street, Round Rock, TX, 78664, US",Round Rock,1799,3,2,"dishwasher, fridge, air_conditioner, parking",https://mynd.rhenti.com/#/property/67b4cada9a80b06792050c54
"713 Wood Mesa Ct, Round Rock, TX, 78665, US",Round Rock,2495,4,2,"pool, dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67e45d4f83b3accfca5a530d
"128 Vulcan Dr, Jarrell, TX, 76537, US",Jarrell,1869,4,2,"air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67e6ffd6496681984f1247f0
"136 Shearwater Ln, Leander, TX, 78641, US",Leander,1945,3,2,"pool, dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67ef23709f008a8d814dcb40
"2908 Arbor Court, Round Rock, TX, 78681, US",Round Rock,3295,4,3,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67ffbad6effd580832468ae1
"6016 Genova Pl, Round Rock, TX, 78665, US",Round Rock,2595,5,3,"pool, dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking",https://mynd.rhenti.com/#/property/67fff0a9ad7dbdd9d50171be
"115 Ranier Ln, Georgetown, TX, 78633, US",Georgetown,1749,2,2,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/68030212f3367c8e8acb373f
"333 Hidden Brook Ln, Round Rock, TX, 78665, US",Round Rock,2245,4,2,"pool, dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6807e42f2a45d45e1ee1a4e1
"2716 Amberglow Ct, Round Rock, TX, 78665, US",Round Rock,2075,3,2,"pool, dishwasher, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/68436550d1d89ba7082e3a8e
"3434 W Desert Bend Loop, Tucson, AZ, 85742, US",Tucson,1845,3,2,"hot_tub, pool, dishwasher, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67477aac1ebaba1c00b9d76b
"11924 N Van Gogh Way, Tucson, AZ, 85742, US",Tucson,2399,3,2,"dishwasher, microwave, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6825ddbe78cf75b25f0fbd1e
"3086 W Avenida Obregon, Tucson, AZ, 85746, US",Tucson,1575,2,2,"hot_tub, pool, dishwasher, ensuite_washer, ensuite_dryer, fridge, air_conditioner, parking",https://mynd.rhenti.com/#/property/684213b64ee6fa02386cea33
"213 N Jacs Pl, Tucson, AZ, 85748, US",Tucson,1945,4,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67d48b02fbe0e905205d5301
"10487 N Fairway Vista Ln, Tucson, AZ, 85737, US",Tucson,2045,3,2,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6825dba378cf75b25f0f8344
"7033 S Dunnock Dr, Tucson, AZ, 85756, US",Tucson,1975,4,2,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/683f70d69aa5c561e0e59d91
"6255 N Camino Pimeria Alta Apt 36, Tucson, AZ, 85718, US",Tucson,1375,2,1,"hot_tub, pool, dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking",https://mynd.rhenti.com/#/property/6841f78827ea109fdc178ddc
"2417 Creek Dr, Granbury, TX, 76048, US",Granbury,2195,3,2,"pool, dishwasher, microwave, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6633d50d59f9f4002d8f9e77
"2612 Creek Dr, Granbury, TX, 76048, US",Granbury,2045,3,2,"pool, dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/673d188fae20012f2b239071
"612 S Rough Creek Ct, Granbury, TX, 76048, US",Granbury,1925,3,2,"dishwasher, ensuite_washer, ensuite_dryer, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67d31d6d77bd6a197853b464
"5612 San Jacinto Dr, Granbury, TX, 76048, US",Granbury,2165,4,2,"pool, dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/68165c0ab0d03246918f07b1
"303 N Eastern St Apt B, Keene, TX, 76059, US",Keene,1649,3,2,"parking, pets",https://mynd.rhenti.com/#/property/683a0ef8887ee26a3682f108
"1401 Cardinal Dr Unit B, Ennis, TX, 75119, US",Ennis,1249,2,1,"dishwasher, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/65b43bbf98707c00f603e61a
"512 E University Ave, Waxahachie, TX, 75165, US",Waxahachie,1995,4,2,"dishwasher, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/662048680cf7d2002d5e9687
"205 Olive St, Waxahachie, TX, 75165, US",Waxahachie,2395,3,2,"dishwasher, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/68155cb0b5ec586be3f76ae1
"1507 Cardinal Dr, Unit A, Ennis, TX, 75119, US",Ennis,1399,3,1,"dishwasher, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/681a32c7972ca18958a6752d
"102 Allen Ct, Springfield, GA, 31329, US",Springfield,2049,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/65fbf7654cd2b8002e6ae0a5
"107 Cook St, Springfield, GA, 31329, US",Springfield,2049,3,2,"dishwasher, microwave, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/66561bfce3427f002dd67e12
"43 Brown Thrasher Ct, Port Wentworth, GA, 31407, US",Port Wentworth,1899,3,2,"pool, dishwasher, microwave, parking, pets",https://mynd.rhenti.com/#/property/681b137a6630a97cdabbe086
"37 Brown Thrasher Ct, Port Wentworth, GA, 31407, US",Port Wentworth,1899,3,2,"pool, dishwasher, microwave, parking, pets",https://mynd.rhenti.com/#/property/681b13926630a97cdabbe107
"41 Brown Thrasher Ct, Port Wentworth, GA, 31407, US",Port Wentworth,1899,3,2,"pool, dishwasher, microwave, parking, pets",https://mynd.rhenti.com/#/property/6840c233e8c4e7a05af7a802
"117 Dasher Dr, Springfield, GA, 31329, US",Springfield,2049,3,2,"microwave, parking, pets",https://mynd.rhenti.com/#/property/684b31e4060c3f93b3859ad5
"807 Via Bahia, San Marcos, CA, 92069, US",San Marcos,5295,4,2,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, parking, pets",https://mynd.rhenti.com/#/property/663267a6be76c1002ef66e60
"4184 32nd St Apt 4, San Diego, CA, 92104, US",San Diego,3999,3,2,"dishwasher, fridge, balcony, parking, pets, laundry_facilities",https://mynd.rhenti.com/#/property/6801d11ef3367c8e8abc896e
"4184 32nd St Apt 6, San Diego, CA, 92104, US",San Diego,2145,1,1,"dishwasher, fridge, air_conditioner, parking, pets, laundry_facilities",https://mynd.rhenti.com/#/property/682647dfbf9c8f28c045fbe5
"107 Mangano Cir, Encinitas, CA, 92024, US",Encinitas,3245,2,2,"hot_tub, pool, dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, balcony, parking, pets",https://mynd.rhenti.com/#/property/68483ac93a9247067d568572
"1916 E Ardmore Dr, Phoenix, AZ, 85042, US",Phoenix,2145,4,2,"air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/65b4027598707c00f603d452
"355 E Thomas Rd Unit B105, Phoenix, AZ, 85012, US",Phoenix,1675,2,2,"pool, dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets, laundry_facilities",https://mynd.rhenti.com/#/property/65b40c5e98707c00f603d74a
"6033 W Vernon Ave, Phoenix, AZ, 85035-2820, US",Phoenix,2135,4,2,"dishwasher, microwave, air_conditioner, parking",https://mynd.rhenti.com/#/property/65f9d3b9e9fdbd002e3ac6b5
"1426 S 222nd Ln, Buckeye, AZ, 85326, US",Buckeye,2199,5,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/65fa0b7a23f2c5002e71155f
"44742 W Portabello Rd, Maricopa, AZ, 85139-8742, US",Maricopa,1795,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6601f4a1856445002e4d0afe
"9233 W Roma Ave, Phoenix, AZ, 85037, US",Phoenix,2495,3,2,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking",https://mynd.rhenti.com/#/property/66428dab738394002ec6f111
"6642 W Pima St, Phoenix, AZ, 85043, US",Phoenix,1775,3,2,"dishwasher, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67dd7178d09c8abf1ba4077c
"9303 W Raymond St, Tolleson, AZ, 85353, US",Tolleson,1999,4,2,"dishwasher, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67f99155af6f9dbc5ffd55a2
"98 N 193rd Ave, Buckeye, AZ, 85326, US",Buckeye,1935,4,2,"fridge, parking, pets",https://mynd.rhenti.com/#/property/680fdf619b3edcc58e03de30
"9163 W Washington St Apt 1, Tolleson, AZ, 85353, US",Tolleson,1335,2,1,"ensuite_washer, ensuite_dryer, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6815437e996245ed7af0779e
"25846 W Kendall St, Buckeye, AZ, 85326, US",Buckeye,1885,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/681ef2ab1b07f62947c72c28
"25145 W Fremont Dr, Buckeye, AZ, 85326, US",Buckeye,1999,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6825f37f13a991f80a3c56ba
"6330 S 252nd Ln, Buckeye, AZ, 85326, US",Buckeye,1845,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6827459b952856db9ec0499f
"5420 W Albeniz Pl, Phoenix, AZ, 85043, US",Phoenix,2099,3,2,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/682b7233dc2b3825bd15345e
"31000 W Fairmount Ave, Buckeye, AZ, 85396, US",Buckeye,1925,4,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/682ba9fb13a991f80a628e5e
"(MIGRATED) 2117 S 114th Ave, Avondale, AZ, 85323-9181, US",Avondale,1895,3,2,"dishwasher, microwave, air_conditioner, parking",https://mynd.rhenti.com/#/property/682e30fe4661d7ec6c96aaf4
"12206 W Lincoln St, Avondale, AZ, 85323, US",Avondale,2249,4,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/683f004da6c6e3fafd4a4bbc
"2813 W Apollo Rd, Phoenix, AZ, 85041, US",Phoenix,2250,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/684b1615c6e7eee34ef1afe4
"2437 N Amarillo St Apt 3, Casa Grande, AZ, 85122-1137, US",Casa Grande,975,2,1,"air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67a53117e957c506b9c9c390
"1026 W Carnoustie Ct, Casa Grande, AZ, 85122, US",Casa Grande,1645,3,2,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67d2e4f820306e634e6256d9
"9828 W Lapaz Ln, Arizona City, AZ, 85123, US",Arizona City,1699,3,2,"dishwasher, ensuite_washer, ensuite_dryer, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67f59f2bcc1a9c2e9a903584
"2355 N Oakmont Ln, Casa Grande, AZ, 85122, US",Casa Grande,1925,4,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/682e4d76c379db1ba4cf50b2
"4732 W Dill Ave, Coolidge, AZ, 85128-8291, US",Coolidge,1895,5,2,"dishwasher, microwave, fridge, air_conditioner, parking",https://mynd.rhenti.com/#/property/6837bfe29e7726713e852883
"231 W Flamingo Dr, Chandler, AZ, 85286, US",Chandler,3995,5,3,"hot_tub, pool, dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, balcony, air_conditioner, parking, pets, laundry_facilities",https://mynd.rhenti.com/#/property/65b3fde998707c00f603d2cd
"40029 W Crane Dr, Maricopa, AZ, 85138, US",Maricopa,1795,3,2,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/65b4394598707c00f603e56c
"4043 E Bruce Ave, Gilbert, AZ, 85234-0707, US",Gilbert,3775,4,3,"pool, dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, balcony, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/660b4abcc3e01a002eafe772
"1757 W Ray Ln, Apache Junction, AZ, 85120, US",Apache Junction,2055,3,2,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/66469e42de49d8002e4b968b
"2204 W San Tan Hills Dr, San Tan Valley, AZ, 85142-6442, US",San Tan Valley,1850,4,2,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking",https://mynd.rhenti.com/#/property/67d2e54420306e634e62b962
"39922 N Calabria St, San Tan Valley, AZ, 85140, US",San Tan Valley,1785,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67e3280c7b67ed167ce40d1e
"2127 W 22nd Ave, Apache Junction, AZ, 85120, US",Apache Junction,1885,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67f4698007b7c472c8c0a416
"260 W 8th Ave Bldg 30 Apt 260, Mesa, AZ, 85210-8630, US",Mesa,1045,2,1,"air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6807e5a02a45d45e1ee1f482
"19075 E Pelican Dr, Queen Creek, AZ, 85142, US",Queen Creek,2370,3,2,"pool, dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6813c0494c0f921d35cdb824
"451 S Hawes Rd Unit 12, Mesa, AZ, 85208, US",Mesa,2025,3,2,"pool, dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/681e0abb21da244dc6342661
"4712 E Silverbell Rd, San Tan Valley, AZ, 85143, US",San Tan Valley,1725,3,2,"dishwasher, microwave, fridge, parking, pets",https://mynd.rhenti.com/#/property/681e0bf221da244dc6347708
"1116 W Dunbar Dr, Tempe, AZ, 85282, US",Tempe,2675,3,2,"dishwasher, microwave, fridge, parking, pets",https://mynd.rhenti.com/#/property/6827998adc2b3825bdfaeb8f
"1864 E Kirkland Ln, Tempe, AZ, 85281, US",Tempe,1885,2,2,"pool, dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking",https://mynd.rhenti.com/#/property/682cdfd0952856db9eecb92f
"634 N Quartz St, Gilbert, AZ, 85234, US",Gilbert,2595,4,3,"pool, dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/682cfc0c63a72d0b15d3ac15
"1908 N Jay St, Chandler, AZ, 85225, US",Chandler,2295,3,2,"dishwasher, fridge, air_conditioner, parking, pets, laundry_facilities",https://mynd.rhenti.com/#/property/682f9f05a5fed1f5df0cc183
"7801 E Roosevelt St, Scottsdale, AZ, 85257, US",Scottsdale,2195,3,1,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6830b87ce1a21dca7af2e560
"37338 W La Paz St, Maricopa, AZ, 85138, US",Maricopa,1949,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6830f03c2124cacd4dfa42f2
"1003 West Julie Drive, Tempe, AZ, 85283, US",Tempe,2285,3,2,"pool, dishwasher, microwave, fridge, balcony, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6834c88e2124cacd4d0f1f90
"10960 East Monte Ave Unit 238, Mesa, AZ, 85209, US",Mesa,1675,2,2,"hot_tub, pool, dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6839d66ad547291a02936709
"21900 S 215th Pl, Queen Creek, AZ, 85142, US",Queen Creek,2445,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/683b27a38290b70648f94f20
"20887 E Swan Dr, Queen Creek, AZ, 85142, US",Queen Creek,2465,3,2,"dishwasher, microwave, fridge, pets",https://mynd.rhenti.com/#/property/683f38d3109df971d77273b4
"2576 S Chaparral Rd, Apache Junction, AZ, 85119, US",Apache Junction,1999,3,2,"dishwasher, microwave, fridge, air_conditioner, pets",https://mynd.rhenti.com/#/property/683f54729aa5c561e0e04c73
"1055 S Fargo St, Chandler, AZ, 85286, US",Chandler,2445,3,3,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6840519cbb746ad585bbb1b8
"1649 S Cole Dr, Gilbert, AZ, 85295-4816, US",Gilbert,2095,4,2,"dishwasher, microwave, fridge, air_conditioner, parking",https://mynd.rhenti.com/#/property/6842f49907792c9eb6be9e0a
"2151 N Meridian Rd Unit 35, Apache Junction, AZ, 85120, US",Apache Junction,1435,2,1,"dishwasher, microwave, fridge, air_conditioner, parking",https://mynd.rhenti.com/#/property/6848734c6dd0be65dbb6719a
"1133 W 20th Ave, Apache Junction, AZ, 85120-7424, US",Apache Junction,1865,3,2,"dishwasher, ensuite_washer, microwave, air_conditioner, parking",https://mynd.rhenti.com/#/property/6849a898be1effe9f97d9002
"2528 E Hermosa Dr, Tempe, AZ, 85282, US",Tempe,2335,3,2,"dishwasher, microwave, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/684afa50c6e7eee34eec7c95
"1101 W West Virginia Ave, Florence, AZ, 85132, US",Florence,1775,3,2,"air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6825da3678cf75b25f0f6b9f
"1058 W West Virginia Ave, Florence, AZ, 85132, US",Florence,1735,3,2,"air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6825da5478cf75b25f0f6c94
"574 S Maricopa Rd, Florence, AZ, 85132, US",Florence,1735,3,2,"air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6825da7078cf75b25f0f6e05
"1131 W 20th St, Florence, AZ, 85132, US",Florence,1735,3,2,"air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6825da7e78cf75b25f0f6e56
"606 S Maricopa Rd, Florence, AZ, 85132, US",Florence,1785,3,2,"air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6825da8878cf75b25f0f6eef
"1065 W West Virginia Ave, Florence, AZ, 85132, US",Florence,1785,3,2,"air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6825da9b78cf75b25f0f6f07
"1090 W West Virginia Ave, Florence, AZ, 85132, US",Florence,1785,3,2,"air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6827b5d13a046fb27c4ba8db
"915 Woodrow Rd, Lubbock, TX, 79423, US",Lubbock,1349,4,2,"parking, pets",https://mynd.rhenti.com/#/property/683e1fa41c200d2afe9dd485
"2428 Limestone Dr, Arlington, TX, 76014, US",Arlington,1725,3,2,"dishwasher, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/65b3f77b98707c00f603d0cd
"4211 Spring Meadow Ln, Flower Mound, TX, 75028, US",Flower Mound,2095,3,2,"dishwasher, microwave, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/65f9b9b7e9fdbd002e3a9129
"3816 Walnut Dr, Bedford, TX, 76021, US",Bedford,3100,4,2,"pool, dishwasher, fridge, air_conditioner, parking, pets, laundry_facilities",https://mynd.rhenti.com/#/property/660c9c9d447349002ee1e788
"104 Jolin Ln, Weatherford, TX, 76088, US",Weatherford,1549,3,2,"dishwasher, microwave, parking, pets",https://mynd.rhenti.com/#/property/661da373e08213002e416fd5
"124 Jolin Ln, Weatherford, TX, 76088, US",Weatherford,1699,3,2,"dishwasher, microwave, parking, pets",https://mynd.rhenti.com/#/property/6638fea6e38e17002eee9ab2
"624 E 3rd St Apt 303, Springtown, TX, 76082, US",Springtown,1049,2,1,"dishwasher, parking, pets, laundry_facilities",https://mynd.rhenti.com/#/property/6670ce535341b7002ead8e00
"3500 Daniel Dr, Arlington, TX, 76014, US",Arlington,1825,3,2,"dishwasher, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67d0966a1b632ea811356910
"2228 Red Maple Rd, Flower Mound, TX, 75022, US",Flower Mound,2795,4,3,"dishwasher, microwave, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67f9751ad460fdf5041f2c04
"102 Jolin Ln, Weatherford, TX, 76088, US",Weatherford,1699,3,2,"dishwasher, microwave, parking, pets",https://mynd.rhenti.com/#/property/680281d0c9ae782d982e5ab9
"6702 Fire Hill Dr, Fort Worth, TX, 76137, US",Fort Worth,1945,3,2,"dishwasher, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6807e2d82a45d45e1ee17d0a
"717 Timberoaks Dr, Azle, TX, 76020, US",Azle,1745,3,2,"dishwasher, fridge, air_conditioner, parking, pets, laundry_facilities",https://mynd.rhenti.com/#/property/680fdfcf9b3edcc58e03ebe1
"5568 Kilmer Dr, North Richland Hills, TX, 76180, US",North Richland Hills,2725,4,3,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/681675dd369fcb34adc7203f
"1278 Ocean Breeze Dr, Flower Mound, TX, 75028, US",Flower Mound,3695,3,3,"pool, dishwasher, microwave, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/681e0cdf21da244dc634ab6e
"5244 Greene Ave, Fort Worth, TX, 76133, US",Fort Worth,1995,3,1,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/681ef35c1b07f62947c75331
"1509 Brook Forest Dr, Mansfield, TX, 76063, US",Mansfield,2099,3,2,"dishwasher, fridge, air_conditioner, pets",https://mynd.rhenti.com/#/property/682647e6bf9c8f28c0460d4b
"262 Harvest Way, Argyle, TX, 76226, US",Argyle,2545,3,2,"elevator, hot_tub, pool, dishwasher, microwave, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/682ddd075353300588848e45
"610 Picnic Ct, Springtown, TX, 76082, US",Springtown,1699,3,2,"dishwasher, microwave, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/682e4dc7c379db1ba4cf8a07
"109 Jolin Ln, Weatherford, TX, 76088, US",Weatherford,1699,3,2,"parking, pets",https://mynd.rhenti.com/#/property/682e4e0cc379db1ba4cfa84b
"8517 Brushy Creek Trl, Fort Worth, TX, 76118, US",Fort Worth,2325,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets, laundry_facilities",https://mynd.rhenti.com/#/property/682e6918dc2b3825bd233b9a
"7145 Romford Way, North Richland Hills, TX, 76182, US",North Richland Hills,1945,3,2,"dishwasher, fridge, air_conditioner, parking, pets, laundry_facilities",https://mynd.rhenti.com/#/property/682fbacf3f2cca14cced93fb
